,participant,offer,choice_b,choice_rt,stim
30,701,5.0,0,1.1358311000512913,post
31,701,2.0,1,1.4368869999889284,post
32,701,2.0,1,1.1937005000654608,post
33,701,2.0,1,0.8951755999587476,post
34,701,8.0,0,1.475064099999145,post
35,701,7.0,0,0.8891797999385744,post
36,701,4.0,1,1.8847813999746,post
37,701,3.0,1,1.181074499967508,post
38,701,4.0,1,1.435916000045836,post
39,701,6.0,0,1.8728641000343489,post
40,701,3.0,1,1.0814566999906674,post
41,701,6.0,0,0.9410946000134572,post
42,701,4.0,1,1.6329993000254035,post
43,701,5.0,0,0.9855050999904053,post
44,701,5.0,0,1.0195015000645071,post
45,701,5.0,0,0.8439770999830216,post
46,701,9.0,0,1.2058102999581024,post
47,701,3.0,1,1.7599474999587983,post
48,701,4.0,1,1.2680030999472365,post
49,701,5.0,0,1.076327700051479,post
50,701,1.0,1,1.187912299996242,post
51,701,6.0,0,0.9233116999967024,post
52,701,8.0,0,0.7826032000593841,post
53,701,5.0,0,1.1013041000114754,post
54,701,7.0,0,1.2322135999565944,post
55,701,8.0,0,1.566250800038688,post
56,701,6.0,0,0.9524350999854504,post
57,701,7.0,0,0.9357530999695882,post
58,701,9.0,0,0.9523557000793516,post
59,701,1.0,1,2.0020228000357747,post
90,702,5.0,1,1.9185859999997767,post
91,702,5.0,0,1.6889035999993212,post
92,702,7.0,0,1.487735299999258,post
93,702,6.0,0,1.143198300000222,post
94,702,4.0,1,1.7713301999992836,post
95,702,7.0,0,0.9794141999991552,post
96,702,3.0,1,1.187729199999012,post
97,702,8.0,0,1.16016320000017,post
98,702,5.0,0,1.3789695000014035,post
99,702,6.0,0,0.918902599998546,post
100,702,6.0,0,1.1458216999999422,post
101,702,4.0,0,1.826265699999567,post
102,702,8.0,0,0.8811435000006895,post
103,702,6.0,0,0.8003903000007995,post
104,702,5.0,0,2.214244699998744,post
105,702,2.0,1,1.883342400000401,post
106,702,4.0,1,1.704643800001577,post
107,702,1.0,1,1.0957768999996915,post
108,702,2.0,1,1.9536623999993024,post
109,702,3.0,1,1.6008892999998352,post
110,702,9.0,0,1.710253899998861,post
111,702,5.0,0,1.3745748000001186,post
112,702,4.0,1,1.6215308000009827,post
113,702,2.0,1,1.4201061000003392,post
114,702,8.0,0,4.294729400000506,post
115,702,3.0,1,1.2599995999989917,post
116,702,5.0,0,3.927585600000384,post
117,702,7.0,0,1.3602769000008266,post
118,702,1.0,1,1.7666238000001613,post
119,702,9.0,0,1.6250701999997543,post
150,705,5.0,1,1.7121764999992592,post
151,705,6.0,0,1.174699999999575,post
152,705,2.0,1,1.2935775999994803,post
153,705,6.0,0,1.2572397000003548,post
154,705,5.0,1,1.3260626999999658,post
